HORA;;GPS-T;GPS-D;GPS-P;;BRC-T;BRC-D;BRC-P;;EUC-T;EUC-D;EUC-P;;
15:50;;00:00:55;282;4106,2349;;00:00:55;282;3,0002;;00:00:55;282;2,0001;;
15:50;;00:00:36;169;3829,219;;00:00:36;169;0;;00:01:08;242;0;;
15:50;;00:02:24;563;3628,2075;;00:03:27;987;0;;00:02:24;563;1;;
15:51;;00:02:19;732;3484,1993;;00:02:19;732;1,0001;;00:02:19;732;0;;
15:52;;00:01:06;431;3612,2066;;00:01:32;509;0;;00:01:19;294;0;;
15:52;;00:00:45;224;2633,1506;;00:00:45;224;0;;00:00:45;224;0;;
15:53;;00:02:46;650;3472,1986;;00:02:46;650;0;;00:03:50;1621;0;;
15:53;;00:00:00;0;3563,2038;;00:07:45;3086;0;;00:00:10;66;0;;
15:54;;00:02:02;663;3563,2038;;00:03:13;983;0;;00:02:10;722;0;;
15:55;;00:01:54;636;3841,2197;;00:05:16;1294;0;;00:03:04;1125;0;;
15:55;;00:00:28;244;3583,205;;00:05:20;1876;0;;00:00:28;244;0;;
15:56;;00:01:57;419;3573,2044;;00:02:35;859;0;;00:03:30;1141;1,0001;;
15:56;;ERRO: OVER_QUERY_LIMITERRO: OVER_QUERY_LIMITERRO: OVER_QUERY_LIMIT
15:57;;ERRO: OVER_QUERY_LIMITERRO: OVER_QUERY_LIMITERRO: OVER_QUERY_LIMIT
15:57;;ERRO: OVER_QUERY_LIMITERRO: OVER_QUERY_LIMITERRO: OVER_QUERY_LIMIT
15:58;;ERRO: OVER_QUERY_LIMITERRO: OVER_QUERY_LIMITERRO: OVER_QUERY_LIMIT
15:58;;15:59;;15:59;;16:00;;16:00;;16:01;;16:01;;16:02;;16:03;;16:03;;16:04;;16:
04;;16:05;;16:06;;16:06;;16:07;;16:07;;16:08;;16:08;;
Aperte ENTER para finalizar..
