HORA;;GPS-T;GPS-D;GPS-P;;BRC-T;BRC-D;BRC-P;;EUC-T;EUC-D;EUC-P;;
23:35;|;00:01:50;572;4610,2637;;00:05:44;2106;2,0001;;00:02:08;644;2,0002;;
23:35;|;00:02:03;442;4124,2359;;00:04:49;1246;0;;00:02:49;882;0;;
23:36;|;00:01:59;666;2554,1461;;00:01:59;666;0;;00:01:59;666;0;;
23:36;|;00:00:28;141;4095,2342;;00:01:52;389;0;;00:00:28;141;0;;
23:37;|;00:02:53;982;4139,2367;;00:02:56;693;0;;00:03:24;876;0;;
23:37;|;00:00:55;241;3975,2274;;00:00:55;241;1,0001;;00:02:37;838;0;;
23:38;|;00:01:25;386;4410,2522;;00:01:28;417;0;;00:01:25;386;0;;
23:38;|;00:01:02;308;3971,2271;;00:02:14;544;1;;00:01:02;308;0;;
23:39;|;00:00:51;300;3931,2248;;00:04:56;1304;0;;00:00:51;300;0;;
23:39;|;00:00:00;0;4293,2455;;00:01:11;277;0;;00:00:00;0;0;;
23:40;|;00:01:01;370;4081,2334;;00:01:23;448;0;;00:01:01;370;0;;
23:40;|;00:02:51;900;3993,2284;;00:08:16;4389;0;;00:08:45;4504;0;;
23:41;|;00:00:00;0;4225,2416;;00:03:58;915;0;;00:00:03;30;1,0001;;
23:41;|;00:00:43;166;3907,2235;;00:01:17;454;0;;00:00:43;166;0;;
23:42;|;00:00:37;152;3714,2125;;00:02:35;844;0;;00:00:37;152;0;;
23:43;|;00:02:49;783;4526,2589;;00:02:49;783;0;;00:03:27;1104;0;;
23:43;|;00:01:08;361;3903,2232;;00:02:28;730;0;;00:01:36;437;0;;
23:44;|;00:00:40;315;4139,2367;;00:04:28;2258;0;;00:03:36;693;0;;
23:44;|;00:01:44;508;4114,2354;;00:01:44;508;0;;00:01:44;508;0;;
23:45;|;00:01:10;246;4258,2435;;00:01:10;246;0;;00:02:37;607;0;;
23:46;|;00:00:00;0;4061,2323;;00:00:00;0;0;;00:00:00;0;0;;
23:46;|;00:02:39;1223;4240,2426;;00:02:39;1223;0;;00:04:06;1848;0;;
23:47;|;00:01:17;375;3959,2264;;00:04:22;1215;0;;00:01:17;375;0;;
23:47;|;00:01:17;459;3971,2271;;00:02:33;665;0;;00:02:23;1338;0;;
23:48;|;00:00:12;108;4157,2378;;00:05:25;2181;0;;00:03:39;1438;0;;
23:48;|;00:02:19;738;3927,2246;;00:02:57;1347;0;;00:02:19;738;0;;
23:49;|;00:00:48;272;3959,2265;;00:03:50;1301;0;;00:00:48;272;0;;
23:49;|;00:01:42;345;4262,2437;;00:02:57;541;0;;00:02:00;752;0;;
23:50;|;00:01:45;574;3990,2282;;00:02:43;920;0;;00:02:17;718;0;;
23:50;|;00:00:00;0;3935,2251;;00:04:17;1766;0;;00:04:17;1766;0;;
23:51;|;00:01:16;348;4200,2402;;00:02:02;942;0;;00:04:57;2501;0;;
23:51;|;00:00:00;0;3923,2244;;00:04:43;1705;0;;00:00:00;0;0;;

Aperte ENTER para finalizar..
