HORA;;GPS-T;GPS-D;GPS-P;;BRC-T;BRC-D;BRC-P;;EUC-T;EUC-D;EUC-P;;
06:05;;06:05;;00:00:40;276;7816,4471;;00:07:45;3086;2,0001;;00:01:34;682;2,0001;
;
06:06;;00:03:29;1314;10421,5961;;00:03:29;1314;0;;00:03:45;1432;0;;
06:06;;00:01:07;244;5493,3142;;00:05:12;2115;0;;00:02:47;818;0;;
06:07;;06:07;;06:08;;00:00:00;0;4833,2764;;00:04:09;2239;0;;00:00:00;0;0;;
06:08;;06:09;;00:02:53;811;5353,3062;;00:07:17;2170;0;;00:03:59;1132;0;;
06:09;;00:00:43;178;8553,4893;;00:03:18;967;0;;00:00:43;178;0;;
06:10;;00:03:53;1257;3163,1809;;00:03:53;1257;1,0001;;00:03:53;1257;0;;
06:10;;06:11;;00:09:57;3742;4412,2524;;00:09:57;3742;0;;00:09:57;3742;0;;
06:12;;00:01:43;446;19794,1322;;00:05:34;1823;0;;00:02:53;951;0;;
06:12;;06:13;;00:02:49;767;21076,2055;;00:04:56;1712;0;;00:03:01;877;0;;
06:13;;00:02:18;718;3639,2082;;00:03:17;1136;0;;00:02:18;718;0;;
06:14;;00:04:23;1548;4496,2572;;00:04:23;1548;0;;00:04:23;1548;0;;
06:14;;00:00:00;0;7497,4288;;00:04:48;2494;0;;00:00:00;0;0;;
06:15;;00:01:42;592;12200,6979;;00:04:08;1294;0;;00:02:33;687;0;;
06:16;;00:00:47;183;7833,448;;00:00:47;183;0;;00:00:47;183;1;;
06:16;;00:02:20;1044;9093,5201;;00:05:20;1818;1,0001;;00:03:30;1454;0;;
06:17;;00:02:01;696;6011,3438;;00:04:13;943;0;;00:02:01;696;0;;
06:17;;00:02:43;884;6265,3584;;00:04:18;1686;0;;00:03:56;814;0;;
06:18;;00:06:41;2379;2359,1349;;00:06:41;2379;0;;00:06:41;2379;0;;
06:18;;00:01:45;516;6549,3746;;00:04:47;1907;0;;00:02:03;584;0;;
06:19;;00:00:55;252;7577,4334;;00:02:01;542;0;;00:00:55;252;0;;
06:19;;00:01:25;346;11580,6623;;00:03:29;1347;0;;00:01:25;346;0;;
06:20;;00:03:49;1234;5023,2873;;00:03:49;1234;1;;00:03:49;1234;0;;
06:20;;
Aperte ENTER para finalizar..
