HORA;;GPS-T;GPS-D;GPS-P;;BRC-T;BRC-D;BRC-P;;EUC-T;EUC-D;EUC-P;;
15:24;;00:00:25;200;4193,2399;;00:02:07;646;3,0001;;00:00:25;200;2,0001;;
15:24;;00:01:27;506;4218,2413;;00:03:01;845;0;;00:01:27;506;0;;
15:25;;00:01:25;386;3820,2185;;00:02:29;624;0;;00:04:33;1622;0;;
15:26;;00:02:12;823;3618,207;;00:03:02;925;0;;00:02:40;685;0;;
15:26;;00:02:51;1141;3476,1989;;00:04:34;1697;0;;00:02:51;1141;0;;
15:27;;00:01:50;493;3719,2127;;00:04:36;2058;0;;00:04:36;2058;0;;
15:27;;00:01:04;351;3459,1979;;00:06:40;3370;0;;00:01:04;351;0;;
15:28;;00:00:00;2;3444,197;;00:06:02;1918;1;;00:00:00;2;1;;
15:28;;00:00:20;84;3479,199;;00:02:54;1249;0;;00:00:20;84;0;;
15:29;;00:00:12;140;3470,1985;;00:06:05;2059;0;;00:00:12;140;0;;
15:29;;00:00:00;1;3575,2045;;00:01:53;621;0;;00:00:00;1;1;;
15:30;;00:03:21;1194;2116,121;;00:03:46;1187;0;;00:03:21;1194;0;;
15:30;;00:00:28;134;3701,2117;;00:00:28;134;0;;00:00:28;134;0;;
15:31;;00:04:34;1995;3428,1961;;00:08:08;4040;0;;00:07:55;4206;0;;
15:31;;00:00:52;221;3492,1998;;00:02:31;759;0;;00:00:52;221;0;;
15:32;;00:00:00;0;3570,2042;;00:01:42;567;0;;00:01:55;641;0;;
15:32;;00:02:13;527;3647,2086;;00:02:13;527;0;;00:03:08;838;0;;
15:33;;00:00:00;0;4445,2543;;00:04:06;1641;0;;00:00:52;162;0;;
15:34;;00:03:59;1084;2014,1152;;00:03:59;1084;0;;00:03:59;1084;1,0001;;
15:34;;00:01:24;435;3625,2073;;00:01:24;435;0;;00:01:28;423;0;;
15:35;;00:01:57;480;3757,2149;;00:01:57;480;0;;00:01:57;480;0;;
15:35;;00:00:00;0;3484,1992;;00:01:19;505;0;;00:00:00;0;0;;
15:36;;00:00:10;105;3477,1989;;00:01:19;312;0;;00:01:19;312;0;;
15:36;;00:03:02;860;3398,1943;;00:03:48;1641;0;;00:03:02;860;0;;
15:37;;00:01:16;383;3592,2055;;00:02:07;564;0;;00:02:15;606;1;;
15:38;;00:00:17;155;3437,1966;;00:03:16;876;0;;00:04:40;1383;0;;
15:38;;00:02:36;811;4884,2794;;00:05:09;1427;0;;00:02:36;811;1;;
15:39;;00:02:26;631;3726,2132;;00:07:43;2944;1,0001;;00:02:26;631;0;;
15:39;;00:03:42;1063;3595,2057;;00:03:42;1063;0;;00:03:47;1092;1;;
15:40;;00:03:55;1701;3357,192;;00:06:38;3755;0;;00:06:38;3755;0;;
15:40;;00:00:00;0;3394,1941;;00:03:42;1283;0;;00:01:55;641;0;;
15:41;;00:02:22;684;3935,2251;;00:04:03;1087;0;;00:02:22;684;0;;
15:41;;00:02:07;753;2062,118;;00:05:22;1795;0;;00:04:23;1835;0;;
15:42;;00:01:29;479;4185,2393;;00:03:24;1033;0;;00:02:42;905;0;;
15:42;;00:00:11;99;3722,2129;;00:03:05;943;0;;00:03:00;973;0;;

Aperte ENTER para finalizar..
