HORA;;GPS-T;GPS-D;GPS-P;;BRC-T;BRC-D;BRC-P;;EUC-T;EUC-D;EUC-P;;
20:16;|;00:01:06;618;8898,5089;;00:01:06;618;3,0001;;00:01:17;395;3,0001;;
20:16;|;00:00:00;0;5387,3082;;00:00:28;312;0;;00:00:00;0;0;;
20:17;|;00:01:24;680;7493,4286;;00:05:26;1693;0;;00:05:06;2148;0;;
20:17;|;00:01:06;323;7490,4284;;00:01:30;428;0;;00:01:06;323;0;;
20:18;|;00:00:40;291;7019,4015;;00:05:54;2369;0;;00:02:08;842;1;;
20:18;|;00:00:39;227;8868,5073;;00:00:39;227;0;;00:00:39;227;0;;
20:19;|;00:01:21;413;4587,2624;;00:01:21;413;1,0001;;00:01:21;413;0;;
20:19;|;00:02:07;660;7964,4555;;00:05:55;2140;1,0001;;00:05:08;1622;0;;
20:20;|;00:01:26;460;7801,4462;;00:01:38;803;0;;00:03:02;976;0;;
20:20;|;00:00:55;284;5865,3355;;00:02:12;583;0;;00:01:44;532;1,0001;;
20:21;|;00:01:06;346;11578,6622;;00:02:43;745;0;;00:03:27;894;0;;
20:22;|;00:05:31;1696;1083,0619;;00:05:31;1696;1,0001;;00:05:31;1696;0;;
20:22;|;00:00:16;65;8667,4958;;00:02:00;776;1,0001;;00:00:16;65;1,0001;;
20:23;|;00:04:16;1337;1797,1028;;00:04:16;1337;0;;00:04:16;1337;1;;
20:23;|;00:01:36;1038;5492,3141;;00:01:36;1038;0;;00:02:25;1063;0;;
20:24;|;00:04:27;1311;1370,0784;;00:04:27;1311;0;;00:04:27;1311;0;;
20:25;|;00:01:24;284;7854,4493;;00:01:48;438;0;;00:01:48;438;0;;
20:25;|;00:04:08;1865;5353,3062;;00:05:57;3245;0;;00:04:08;1865;0;;
20:26;|;00:01:47;531;5472,313;;00:02:19;745;0;;00:04:53;2185;1,0001;;
20:26;|;00:02:30;732;9978,5708;;00:02:30;732;0;;00:04:31;1510;0;;
20:27;|;00:01:53;561;6361,3638;;00:06:25;2294;0;;00:01:53;561;0;;
20:27;|;00:00:35;478;9260,5297;;00:00:35;478;0;;00:04:10;1838;0;;
20:28;|;00:00:00;0;5450,3117;;00:00:00;0;0;;00:00:00;0;0;;
20:28;|;00:02:49;905;5393,3085;;00:02:49;905;0;;00:02:49;905;0;;
20:29;|;00:02:16;710;5439,3111;;00:04:11;1763;0;;00:03:56;1885;0;;
20:29;|;00:04:49;1363;2594,1483;;00:04:49;1363;0;;00:04:49;1363;1;;
20:30;|;00:00:25;131;8225,4705;;00:00:48;236;1,0001;;00:00:48;236;1,0001;;
20:30;|;00:00:30;162;2492,1425;;00:04:16;1137;0;;00:00:30;162;0;;
20:31;|;00:02:15;598;5348,3059;;00:04:27;1097;0;;00:04:04;1041;0;;
20:31;|;00:00:34;218;5402,309;;00:01:06;395;0;;00:00:34;218;0;;
20:32;|;00:00:00;0;6759,3866;;00:03:11;1175;0;;00:03:11;1175;0;;
20:32;|;00:03:10;1011;5956,3407;;00:03:49;1184;0;;00:03:49;1184;0;;

Aperte ENTER para finalizar..
