Cliente 10;08/02/2013 01:19:34;00:00:13;90;
Cliente 11;08/02/2013 01:19:47;00:02:37;800;
Cliente 12;08/02/2013 01:20:00;00:04:25;1170;
Cliente 13;08/02/2013 01:20:23;00:04:21;1309;
Cliente 14;08/02/2013 01:20:49;00:02:41;766;
Cliente 15;08/02/2013 01:21:12;00:05:18;1492;
Cliente 16;08/02/2013 01:21:25;00:10:51;937;
Cliente 17;08/02/2013 01:21:51;00:02:57;867;
Cliente 18;08/02/2013 01:22:15;00:01:43;455;
Cliente 19;08/02/2013 01:22:37;00:15:12;1252;
Cliente 2;08/02/2013 01:22:51;00:01:43;684;
Cliente 20;08/02/2013 01:23:15;00:00:48;250;
Cliente 21;08/02/2013 01:23:39;00:00:12;80;
Cliente 22;08/02/2013 01:24:03;00:05:20;1461;
Cliente 23;08/02/2013 01:24:17;00:01:16;427;
Cliente 24;08/02/2013 01:24:37;00:04:45;1225;
Cliente 25;08/02/2013 01:24:51;00:02:38;1552;
Cliente 26;08/02/2013 01:25:06;00:03:58;1989;
Cliente 27;08/02/2013 01:25:29;00:02:05;598;
Cliente 28;08/02/2013 01:25:42;00:01:50;517;
Cliente 29;08/02/2013 01:26:01;00:01:29;458;
Cliente 3;08/02/2013 01:26:16;00:06:49;1396;
Cliente 30;08/02/2013 01:26:30;00:03:59;1245;
Cliente 31;08/02/2013 01:26:54;00:03:53;1371;
Cliente 32;08/02/2013 01:27:08;00:04:29;1272;
Cliente 33;08/02/2013 01:27:26;00:19:17;7056;
Cliente 34;08/02/2013 01:27:40;00:00:48;312;
Cliente 35;08/02/2013 01:27:56;00:08:18;3292;
Cliente 36;08/02/2013 01:28:21;00:02:44;909;
Cliente 37;08/02/2013 01:28:33;00:17:08;2532;
Cliente 38;08/02/2013 01:28:53;00:06:22;586;
Cliente 39;08/02/2013 01:29:06;00:06:53;2501;
Cliente 4;08/02/2013 01:29:22;00:04:21;1156;
Cliente 40;08/02/2013 01:29:46;00:00:52;235;
Cliente 5;08/02/2013 01:30:00;00:10:37;1748;
Cliente 6;08/02/2013 01:30:19;00:03:50;1528;
Cliente 7;08/02/2013 01:30:31;00:03:22;1165;
Cliente 8;08/02/2013 01:30:48;00:00:00;0;
Cliente 9;08/02/2013 01:31:11;00:05:59;2054;
Cliente1;08/02/2013 01:31:26;00:04:43;1474;
Taxista100;08/02/2013 01:31:44;00:02:45;678;
Taxista101;08/02/2013 01:31:57;00:07:11;2352;
Taxista102;08/02/2013 01:32:14;00:07:21;1783;
Taxista103;08/02/2013 01:32:37;00:01:54;654;
Taxista104;08/02/2013 01:32:51;00:02:38;1552;
Taxista105;08/02/2013 01:33:10;00:02:25;1054;
Taxista106;08/02/2013 01:33:24;00:08:09;3841;
Taxista107;08/02/2013 01:33:40;00:01:16;427;
Taxista108;08/02/2013 01:33:54;00:06:01;2670;
Taxista109;08/02/2013 01:34:11;00:19:17;7056;

Tempo médio: 00:00:00


Aperte ENTER para finalizar..
