****** broadcasting *******

Cliente 10;30/01/2013 21:34:37;00:02:53
Cliente 11;30/01/2013 21:34:46;00:10:29
Cliente 12;30/01/2013 21:34:55;00:04:12
Cliente 13;30/01/2013 21:35:07;00:02:26
Cliente 14;30/01/2013 21:35:15;00:07:44
Cliente 15;30/01/2013 21:35:26;00:10:14
Cliente 16;30/01/2013 21:35:37;00:01:27
Cliente 17;30/01/2013 21:35:46;00:17:11
Cliente 18;30/01/2013 21:35:56;00:03:29
Cliente 19;30/01/2013 21:36:06;00:00:00
Cliente 2;30/01/2013 21:36:20;00:05:29
Cliente 20;30/01/2013 21:36:29;00:07:13
Cliente 21;30/01/2013 21:36:38;00:05:34
Cliente 22;30/01/2013 21:36:49;00:04:55
Cliente 23;30/01/2013 21:36:56;00:08:23
Cliente 24;30/01/2013 21:37:06;00:05:03
Cliente 25;30/01/2013 21:37:16;00:04:42
Cliente 26;30/01/2013 21:37:28;00:04:21
Cliente 27;30/01/2013 21:37:39;00:06:26
Cliente 28;30/01/2013 21:37:49;00:05:34
Cliente 29;30/01/2013 21:38:01;00:01:21
Cliente 3;30/01/2013 21:38:08;00:03:37
Cliente 30;30/01/2013 21:38:16;00:09:17
Cliente 31;30/01/2013 21:38:26;00:04:50
Cliente 32;30/01/2013 21:38:44;00:04:22
Cliente 32;30/01/2013 21:38:54;00:04:22
Cliente 34;30/01/2013 21:39:00;00:04:56
Cliente 35;30/01/2013 21:39:09;00:06:56
Cliente 36;30/01/2013 21:39:19;00:04:51
Cliente 37;30/01/2013 21:39:26;00:10:08
Cliente 38;30/01/2013 21:39:39;00:06:27
Cliente 39;30/01/2013 21:39:47;00:00:00
Cliente 4;30/01/2013 21:39:59;00:05:54
Cliente 40;30/01/2013 21:40:08;00:01:16

Tempo médio: 00:05:28.2940000


Aperte ENTER para finalizar..
