******** gps *******

Cliente 10;30/01/2013 21:14:46;00:02:22
Cliente 10;30/01/2013 21:14:47;00:02:22
Cliente 12;30/01/2013 21:15:00;00:02:39
Cliente 13;30/01/2013 21:15:08;00:04:05
Cliente 14;30/01/2013 21:15:19;00:07:55
Cliente 15;30/01/2013 21:15:26;00:01:30
Cliente 16;30/01/2013 21:15:39;00:01:04
Cliente 17;30/01/2013 21:15:50;00:00:00
Cliente 18;30/01/2013 21:15:55;00:05:11
Cliente 19;30/01/2013 21:16:11;00:01:24
Cliente 2;30/01/2013 21:16:21;00:04:03
Cliente 20;30/01/2013 21:16:28;00:03:44
Cliente 21;30/01/2013 21:16:38;00:01:08
Cliente 22;30/01/2013 21:16:48;00:03:46
Cliente 23;30/01/2013 21:17:03;00:00:00
Cliente 23;30/01/2013 21:17:10;00:00:00
Cliente 25;30/01/2013 21:17:15;00:04:12
Cliente 26;30/01/2013 21:17:33;00:01:39
Cliente 26;30/01/2013 21:17:37;00:01:39
Cliente 28;30/01/2013 21:17:46;00:03:05
Cliente 29;30/01/2013 21:17:57;00:02:49
Cliente 3;30/01/2013 21:18:14;00:09:54
Cliente 3;30/01/2013 21:18:17;00:09:54
Cliente 31;30/01/2013 21:18:26;00:04:51
Cliente 32;30/01/2013 21:18:36;00:03:21
Cliente 33;30/01/2013 21:18:50;00:00:23
Cliente 34;30/01/2013 21:18:57;00:04:19
Cliente 35;30/01/2013 21:19:08;00:01:19
Cliente 36;30/01/2013 21:19:20;00:02:39
Cliente 37;30/01/2013 21:19:27;00:04:02
Cliente 38;30/01/2013 21:19:39;00:00:04
Cliente 39;30/01/2013 21:19:47;00:00:00
Cliente 4;30/01/2013 21:20:01;00:01:19
Cliente 40;30/01/2013 21:20:07;00:00:00
Cliente 5;30/01/2013 21:20:16;00:07:31
Cliente 6;30/01/2013 21:20:32;00:03:39
Cliente 6;30/01/2013 21:20:36;00:03:39
Cliente 8;30/01/2013 21:20:48;00:05:45
Cliente 9;30/01/2013 21:20:57;00:01:16
Cliente1;30/01/2013 21:21:07;00:02:32
Taxista100;30/01/2013 21:21:21;00:00:00
Taxista101;30/01/2013 21:21:31;00:01:14
Taxista102;30/01/2013 21:21:34;00:03:48
Taxista103;30/01/2013 21:21:45;00:03:41
Taxista104;30/01/2013 21:21:56;00:12:01
Taxista105;30/01/2013 21:22:10;00:00:49
Taxista106;30/01/2013 21:22:16;00:00:00
Taxista107;30/01/2013 21:22:36;00:01:04
Taxista107;30/01/2013 21:22:40;00:01:04
Taxista109;30/01/2013 21:22:51;00:01:39

Tempo médio: 00:02:55.6800000


Aperte ENTER para finalizar..
